gap_threshold,reversal_threshold,entry_window_minutes,trading_date,symbol,direction,previous_close,today_open,event_gap,post_open_move,entry_price,exit_price,trade_return,result
0.005,0.0015,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.005,0.0015,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.005,0.0015,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.005,0.0015,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.005,0.0015,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.005,0.0015,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.005,0.0015,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.005,0.0015,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.005,0.0015,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.005,0.0015,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.005,0.0015,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.005,0.0015,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.005,0.0015,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.005,0.0025,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.005,0.0025,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.005,0.0025,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.005,0.0025,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.005,0.0025,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.005,0.0025,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.005,0.0025,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.005,0.0025,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.005,0.0025,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.005,0.0025,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.005,0.0025,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.005,0.0025,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.005,0.0025,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.005,0.0035,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.005,0.0035,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.005,0.0035,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.005,0.0035,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.005,0.0035,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.005,0.0035,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.005,0.0035,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.005,0.0035,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.005,0.0035,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.005,0.0035,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.005,0.0035,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.005,0.0035,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.005,0.0035,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.005,0.005,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.005,0.005,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.005,0.005,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.005,0.005,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.005,0.005,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.005,0.005,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.005,0.005,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.005,0.005,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.005,0.005,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.005,0.005,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.005,0.005,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.005,0.005,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.01,0.0015,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.01,0.0015,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.01,0.0015,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.01,0.0015,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.01,0.0015,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.01,0.0015,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.01,0.0015,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.01,0.0015,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.01,0.0015,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.01,0.0015,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.01,0.0015,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.01,0.0015,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.01,0.0015,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.01,0.0025,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.01,0.0025,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.01,0.0025,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.01,0.0025,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.01,0.0025,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.01,0.0025,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.01,0.0025,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.01,0.0025,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.01,0.0025,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.01,0.0025,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.01,0.0025,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.01,0.0025,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.01,0.0025,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.01,0.0035,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.01,0.0035,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.01,0.0035,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.01,0.0035,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.01,0.0035,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.01,0.0035,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.01,0.0035,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.01,0.0035,10,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.01,0.0035,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.01,0.0035,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.01,0.0035,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.01,0.0035,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.01,0.0035,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.01,0.005,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.01,0.005,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.01,0.005,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.01,0.005,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.01,0.005,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.01,0.005,10,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.01,0.005,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.01,0.005,10,2026-03-05,MAS,SHORT,68.45,67.655,-0.011614317019722487,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.01,0.005,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.01,0.005,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.01,0.005,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.01,0.005,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.02,0.0015,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.02,0.0015,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.02,0.0015,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.02,0.0015,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.02,0.0015,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.02,0.0015,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.02,0.0015,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.02,0.0015,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.02,0.0015,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.02,0.0015,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.02,0.0025,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.02,0.0025,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.02,0.0025,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.02,0.0025,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.02,0.0025,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.02,0.0025,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.02,0.0025,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.02,0.0025,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.02,0.0025,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.02,0.0025,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.02,0.0035,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.02,0.0035,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.02,0.0035,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.02,0.0035,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.02,0.0035,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.02,0.0035,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.02,0.0035,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.02,0.0035,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.02,0.0035,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.02,0.0035,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.02,0.005,10,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
0.02,0.005,10,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.02,0.005,10,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.02,0.005,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.02,0.005,10,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.02,0.005,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.02,0.005,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.02,0.005,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.02,0.005,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.02,0.005,10,2026-03-06,LYB,LONG,65.855,67.4,0.023460633209323456,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
0.03,0.0015,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.03,0.0015,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.03,0.0015,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.03,0.0015,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.03,0.0015,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.03,0.0025,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.03,0.0025,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.03,0.0025,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.03,0.0025,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.03,0.0025,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.03,0.0035,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.03,0.0035,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.03,0.0035,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.03,0.0035,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.03,0.0035,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
0.03,0.005,10,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.03,0.005,10,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.03,0.005,10,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
0.03,0.005,10,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
0.03,0.005,10,2026-03-06,LRCX,SHORT,214.72,205.54,-0.04275335320417295,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
