threshold,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return,entry_price,exit_price,trade_return
0.0075,2026-03-06,BLK,LONG,LONG,0.022976159533347973,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.0075,2026-03-06,COST,SHORT,SHORT,-0.027551069130539174,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.0075,2026-03-06,CRM,LONG,LONG,0.03935313769074633,-0.019910242741315698,197.64,202.085,0.02249038656142499
0.0075,2026-03-06,CW,SHORT,SHORT,-0.03399614565515363,0.013895751912911924,677.11,681.305,-0.00619544830234369
0.0075,2026-03-06,ENPH,LONG,LONG,0.03968288919974294,-0.007736461192912492,39.76,40.24,0.012072434607645954
0.0075,2026-03-06,IREN,LONG,LONG,0.08003527322191673,-0.010783055198973046,38.53,36.7,-0.04749545808460931
0.0075,2026-03-06,LRCX,SHORT,SHORT,-0.045656833400241625,0.010946774350491406,207.79,199.25,0.041099186678858424
0.0075,2026-03-06,MA,LONG,LONG,0.03676083730138213,-0.009327281818531485,515.13,522.22,0.013763516005668608
0.0075,2026-03-06,META,LONG,LONG,0.039296105040569795,-0.011562210558814456,640.31,644.8,0.007012228451843683
0.0075,2026-03-06,NFLX,LONG,LONG,0.047827733199675926,-0.011923328470091032,98.2,99.01,0.008248472505091753
0.0075,2026-03-06,TMO,LONG,LONG,0.028983589381438524,-0.020506634499396936,503.44,502.2,-0.0024630541871921707
0.0075,2026-03-06,VZ,LONG,LONG,0.031141827627886087,-0.011350293542074286,50.52,51.1,0.011480601741884477
0.01,2026-03-03,IREN,LONG,LONG,0.050448225595727925,-0.013363590519414825,39.13,38.855,-0.007027855865065269
0.01,2026-03-03,NOC,LONG,LONG,0.028370471875793557,-0.014537685954719493,756.5,759.165,0.003522802379378742
0.01,2026-03-03,TSLA,LONG,LONG,0.024952283183116597,-0.011263256473208583,390.64,392.625,0.005081404874052842
0.01,2026-03-03,VRT,LONG,LONG,0.022131552956874634,-0.010823045267489673,240.37,244.38,0.016682614302949483
0.01,2026-03-04,BAC,LONG,LONG,0.03423577591819438,-0.010197960407918427,49.5,50.28,0.01575757575757586
0.01,2026-03-04,ELV,SHORT,SHORT,-0.09754301984668723,0.013943661971830945,287.96,291.61,-0.012675371579386144
0.01,2026-03-04,ENPH,LONG,LONG,0.08617836870499662,-0.02551724137931033,42.39,42.69,0.007077140835102469
0.01,2026-03-04,JPM,LONG,LONG,0.029758907183222716,-0.010719398115782708,297.17,299.34,0.007302217585893445
0.01,2026-03-04,TGT,LONG,LONG,0.042919283590397095,-0.019752593774940097,122.825,120.05,-0.02259312029310001
0.01,2026-03-05,ELV,SHORT,SHORT,-0.0778621094316666,0.017183200955199096,293.91,286.37,0.02565411180293294
0.01,2026-03-05,EQT,SHORT,SHORT,-0.02306485003138059,0.011257953989231462,61.98,61.67,0.005001613423684982
0.01,2026-03-05,ETN,SHORT,SHORT,-0.035833485006216304,0.014262079981744558,355.58,354.62,0.002699814387760784
0.01,2026-03-05,LRCX,SHORT,SHORT,-0.03255779500986944,0.011989200567427805,221.15,214.72,0.029075288265882914
0.01,2026-03-05,ROK,SHORT,SHORT,-0.03368142558191867,0.015138259232747364,382.9,378.18,0.01232697832332194
0.01,2026-03-05,VST,SHORT,SHORT,-0.02908022169996105,0.022772795907676224,165.95,167.4,-0.008737571557698205
0.01,2026-03-06,ADBE,LONG,LONG,0.07338278134923559,-0.011481547512925516,277.23,283.63,0.023085524654618883
0.01,2026-03-06,BAC,LONG,LONG,0.037439548082251806,-0.016477857878475777,47.75,48.61,0.018010471204188416
0.01,2026-03-06,BLK,LONG,LONG,0.022976159533347973,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.01,2026-03-06,COST,SHORT,SHORT,-0.027551069130539174,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.01,2026-03-06,CRM,LONG,LONG,0.03935313769074633,-0.019910242741315698,197.64,202.085,0.02249038656142499
0.01,2026-03-06,CW,SHORT,SHORT,-0.03399614565515363,0.013895751912911924,677.11,681.305,-0.00619544830234369
0.01,2026-03-06,IREN,LONG,LONG,0.08003527322191673,-0.010783055198973046,38.53,36.7,-0.04749545808460931
0.01,2026-03-06,LRCX,SHORT,SHORT,-0.045656833400241625,0.010946774350491406,207.79,199.25,0.041099186678858424
0.01,2026-03-06,META,LONG,LONG,0.039296105040569795,-0.011562210558814456,640.31,644.8,0.007012228451843683
0.01,2026-03-06,NFLX,LONG,LONG,0.047827733199675926,-0.011923328470091032,98.2,99.01,0.008248472505091753
0.01,2026-03-06,TMO,LONG,LONG,0.028983589381438524,-0.020506634499396936,503.44,502.2,-0.0024630541871921707
0.01,2026-03-06,VZ,LONG,LONG,0.031141827627886087,-0.011350293542074286,50.52,51.1,0.011480601741884477
0.0125,2026-03-03,IREN,LONG,LONG,0.050448225595727925,-0.013363590519414825,39.13,38.855,-0.007027855865065269
0.0125,2026-03-03,NOC,LONG,LONG,0.028370471875793557,-0.014537685954719493,756.5,759.165,0.003522802379378742
0.0125,2026-03-04,ELV,SHORT,SHORT,-0.09754301984668723,0.013943661971830945,287.96,291.61,-0.012675371579386144
0.0125,2026-03-04,ENPH,LONG,LONG,0.08617836870499662,-0.02551724137931033,42.39,42.69,0.007077140835102469
0.0125,2026-03-04,TGT,LONG,LONG,0.042919283590397095,-0.019752593774940097,122.825,120.05,-0.02259312029310001
0.0125,2026-03-05,ELV,SHORT,SHORT,-0.0778621094316666,0.017183200955199096,293.91,286.37,0.02565411180293294
0.0125,2026-03-05,ETN,SHORT,SHORT,-0.035833485006216304,0.014262079981744558,355.58,354.62,0.002699814387760784
0.0125,2026-03-05,ROK,SHORT,SHORT,-0.03368142558191867,0.015138259232747364,382.9,378.18,0.01232697832332194
0.0125,2026-03-05,VST,SHORT,SHORT,-0.02908022169996105,0.022772795907676224,165.95,167.4,-0.008737571557698205
0.0125,2026-03-06,BAC,LONG,LONG,0.037439548082251806,-0.016477857878475777,47.75,48.61,0.018010471204188416
0.0125,2026-03-06,BLK,LONG,LONG,0.022976159533347973,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.0125,2026-03-06,COST,SHORT,SHORT,-0.027551069130539174,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.0125,2026-03-06,CRM,LONG,LONG,0.03935313769074633,-0.019910242741315698,197.64,202.085,0.02249038656142499
0.0125,2026-03-06,CW,SHORT,SHORT,-0.03399614565515363,0.013895751912911924,677.11,681.305,-0.00619544830234369
0.0125,2026-03-06,TMO,LONG,LONG,0.028983589381438524,-0.020506634499396936,503.44,502.2,-0.0024630541871921707
0.015,2026-03-04,ENPH,LONG,LONG,0.08617836870499662,-0.02551724137931033,42.39,42.69,0.007077140835102469
0.015,2026-03-04,TGT,LONG,LONG,0.042919283590397095,-0.019752593774940097,122.825,120.05,-0.02259312029310001
0.015,2026-03-05,ELV,SHORT,SHORT,-0.0778621094316666,0.017183200955199096,293.91,286.37,0.02565411180293294
0.015,2026-03-05,ROK,SHORT,SHORT,-0.03368142558191867,0.015138259232747364,382.9,378.18,0.01232697832332194
0.015,2026-03-05,VST,SHORT,SHORT,-0.02908022169996105,0.022772795907676224,165.95,167.4,-0.008737571557698205
0.015,2026-03-06,BAC,LONG,LONG,0.037439548082251806,-0.016477857878475777,47.75,48.61,0.018010471204188416
0.015,2026-03-06,BLK,LONG,LONG,0.022976159533347973,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.015,2026-03-06,COST,SHORT,SHORT,-0.027551069130539174,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.015,2026-03-06,CRM,LONG,LONG,0.03935313769074633,-0.019910242741315698,197.64,202.085,0.02249038656142499
0.015,2026-03-06,TMO,LONG,LONG,0.028983589381438524,-0.020506634499396936,503.44,502.2,-0.0024630541871921707
